city,state,energy_burden,household_income,avg_annual_energy_cost,risk_label
Firebaugh,California,5.0,49785.0,2363.0,1
Folsom,California,1.0,166071.0,2203.0,0
Fontana,California,2.0,112684.0,2415.0,0
Fort Bragg,California,4.0,71350.0,2563.0,1
Fortuna,California,3.0,82340.0,2488.0,1
Foster City,California,1.0,274657.0,2346.0,0
Fountain Valley,California,1.0,150146.0,2193.0,0
Fowler,California,3.0,89555.0,2879.0,1
Fremont,California,1.0,206457.0,2313.0,0
Fresno,California,3.0,87905.0,2718.0,1
Fullerton,California,2.0,135477.0,2370.0,0
Galt,California,2.0,112317.0,2190.0,0
Gardena,California,2.0,94535.0,1768.0,0
Garden Grove,California,2.0,115693.0,1978.0,0
Gilroy,California,2.0,186546.0,3160.0,0
Glendale,California,2.0,117623.0,1821.0,0
Glendora,California,2.0,138416.0,2672.0,0
Goleta,California,1.0,163835.0,2002.0,0
Gonzales,California,3.0,75614.0,2025.0,1
Grand Terrace,California,2.0,113653.0,2192.0,0
Grass Valley,California,3.0,79543.0,2554.0,1
Greenfield,California,3.0,80391.0,2771.0,1
Greenfield,California,2.0,97030.0,2201.0,0
Gridley,California,3.0,92360.0,3088.0,1
Grover Beach,California,2.0,102963.0,1605.0,0
Guadalupe,California,2.0,99869.0,2170.0,0
Gustine,California,4.0,71333.0,2516.0,1
Half Moon Bay,California,1.0,290271.0,3054.0,0
Hanford,California,3.0,97383.0,2803.0,1
Hawaiian Gardens,California,2.0,95802.0,1902.0,0
Hawthorne,California,2.0,95087.0,1596.0,0
Hayward,California,2.0,135114.0,2262.0,0
Healdsburg,California,2.0,140879.0,2828.0,0
Hemet,California,3.0,71471.0,2489.0,1
Hercules,California,2.0,159705.0,2497.0,0
Hermosa Beach,California,1.0,211716.0,1888.0,0
Hesperia,California,4.0,83687.0,3266.0,1
Highland,California,3.0,105965.0,2698.0,1
Hillsborough,California,1.0,423024.0,4931.0,0
Hollister,California,2.0,124699.0,2497.0,0
Holtville,California,3.0,79734.0,2369.0,1
Hughson,California,2.0,116335.0,2394.0,0
Huntington Beach,California,1.0,155130.0,2014.0,0
Huntington Park,California,2.0,70572.0,1547.0,0
Huron,California,4.0,70669.0,2480.0,1
Imperial,California,3.0,102920.0,2616.0,1
Imperial Beach,California,2.0,91836.0,1588.0,0
Indian Wells,California,2.0,132796.0,3029.0,0
Indio,California,3.0,92781.0,2806.0,1
Inglewood,California,2.0,88595.0,1873.0,0
Ione,California,3.0,96749.0,2867.0,1
Irvine,California,1.0,170802.0,2007.0,0
Jackson,California,3.0,94540.0,2963.0,1
Jurupa Valley,California,2.0,118121.0,2648.0,0
Kerman,California,3.0,84141.0,2614.0,1
King City,California,3.0,77988.0,2048.0,1
Kingsburg,California,3.0,95563.0,2834.0,1
La Cañada Flintridge,California,1.0,258563.0,3624.0,0
Lafayette,California,1.0,294666.0,3606.0,0
Laguna Beach,California,1.0,212824.0,2725.0,0
Laguna Hills,California,1.0,168955.0,2336.0,0
Laguna Niguel,California,1.0,190703.0,2383.0,0
Laguna Woods,California,2.0,101792.0,1756.0,0
La Habra,California,2.0,124298.0,2362.0,0
La Habra Heights,California,1.0,244025.0,3045.0,0
Lake Elsinore,California,2.0,108402.0,2579.0,0
Lake Forest,California,1.0,173124.0,2577.0,0
Lakeport,California,3.0,89854.0,2739.0,1
Lakewood,California,2.0,135376.0,2094.0,0
La Mesa,California,2.0,114607.0,1948.0,0
La Mirada,California,2.0,121829.0,2223.0,0
Lancaster,California,3.0,89052.0,2772.0,1
La Palma,California,2.0,146198.0,2210.0,0
La Puente,California,2.0,103841.0,2223.0,0
La Quinta,California,2.0,137954.0,3124.0,0
Larkspur,California,1.0,293840.0,2817.0,0
Lathrop,California,2.0,125837.0,3061.0,0
