city,state,latitude,longitude
Adelanto,California,34.5828,-117.4092
Agoura Hills,California,34.1533,-118.7617
Alameda,California,37.7652,-122.2416
Albany,California,37.8869,-122.2977
Alhambra,California,34.0953,-118.1270
Aliso Viejo,California,33.5677,-117.7256
Alturas,California,41.4871,-120.5425
American Canyon,California,38.1749,-122.2608
Anaheim,California,33.8366,-117.9143
Anderson,California,40.4482,-122.2978
