household_income,avg_annual_energy_cost,avg_temp_forecast,max_temp_forecast,min_temp_forecast,city
0.3005651465831969,0.07731766136268543,0.06939350095149789,0.0011483364167393215,0.18734458545511107,Adelanto
-0.2752001618987538,-0.006721741320806071,-0.02403269534126234,-0.015921217381272366,0.02764504671132524,Agoura Hills
-0.18026105301840847,-0.07503082990611923,-0.013330288096012752,-0.012408840753890633,-0.06319975745633817,Alameda
-0.18014359341284925,-0.06051882942073576,-0.014062624285743565,-0.011785027793595115,-0.0777206943178455,Albany
-0.0907055158216079,-0.10249710596861003,-0.033524690979891796,-0.009008301809366669,-0.10849515465129292,Alhambra
-0.18876523307253237,-0.05549919329491234,-0.007783133487649083,-0.012133096742207541,-0.08005011263346784,Aliso Viejo
0.2835560453609123,0.11123958205187351,0.07400590107867676,-0.0004947796981472794,0.18746248197591536,Alturas
-0.2890778556878563,0.010255214202141373,-0.033855944010439794,-0.019799248064186627,0.07824706432957206,American Canyon
-0.12031657093582819,-0.08991663095639045,-0.03413113083810071,-0.004454493797909502,-0.09541194270254048,Anaheim
0.3117278412379927,0.14246275727885108,0.005273551477473212,0.008394064963887258,0.17791101581102647,Anderson
0.2702952298570302,0.06928624625002035,0.07688982754806487,-0.0036369378620445736,0.2129348649761597,Angels
-0.20859076918358802,0.06778230691042847,-0.016869291732887568,-0.016016409610723106,-0.09053660561399898,Antioch
0.2700107520663025,0.07903676101303507,0.0723694329586799,0.00020798579513869807,0.21414429893607448,Apple Valley
-0.20327728058907207,0.0214104152320658,-0.03939644297536747,-0.007570404761442961,-0.09539705613695247,Arcadia
0.2578422739141068,-0.11003217757749084,0.08026786667928007,0.026445209726385786,0.19124605802694888,Arcata
-0.15328034181396538,-0.08420067140567089,-0.01039615820570365,-0.004741576807530811,-0.051612020997898536,Arroyo Grande
-0.09357874716970438,-0.08198958965139914,-0.03583039415754935,-0.005753808793674926,-0.11707822945844146,Artesia
0.31252218707698987,0.087443665188669,0.007919191508837357,0.009508588307376083,0.18837559868735843,Arvin
-0.2501159403349069,-0.11342927453810087,0.03507366197534503,-0.01996597772074866,0.13420676138764204,Atascadero
-0.27798586518940893,-0.00513634067978043,-0.03275621250963529,-0.01590918671962632,0.027556835867681706,Atherton
0.32336577639585135,0.08507640959943065,0.004221201876637195,0.009419133902132205,0.18368670899517925,Atwater
0.13501779892126384,0.12181657658165464,0.06835807850986866,0.00389840245128487,0.2166783743051586,Auburn
-0.12131595028467333,-0.07417410719377124,-0.01351977124504811,-0.0020626081456639562,-0.1131583323616126,Avalon
0.3313509651434178,0.15272508547198255,0.01646226337578412,0.010155064081093469,0.14507585269695275,Avenal
0.055535328922339526,-0.15428238162617505,-0.062234138313415274,-0.026367224288729195,-0.13688235392478917,Azusa
0.24164581312069572,0.16685846420441847,0.014025380900766701,0.010756229795672295,0.17248334274767751,Bakersfield
0.1023151562777664,-0.12188079680018987,-0.07346585985354886,-0.02847065704841195,-0.142728611806385,Baldwin Park
0.39506437489861373,0.15397187167788784,0.017792302235299217,0.012058982724835606,-0.01311830076740568,Banning
0.34856769391645376,0.15787763153520984,0.012200637757250605,-0.002683500029668683,0.10980676758998513,Barstow
0.24865686950900145,0.12795389662948098,0.0037192176237555137,-0.007838697538896777,0.11327794454588955,Beaumont
0.18597700329277655,-0.18875964283206487,-0.0750579291112345,-0.017094474423393548,-0.1592957261568528,Bell
0.10126192074756196,-0.16080928681778614,-0.07204667769155286,-0.01645435717181797,-0.15618236829717413,Bellflower
0.18793885394212723,-0.18860273723765925,-0.08057281006361544,-0.02388539183931096,-0.15910868403231068,Bell Gardens
-0.2576358694481658,0.052621643917893555,-0.022987896882130047,-0.021315706657012042,-0.024912940161354948,Belmont
-0.25293594054749624,0.06848996978926812,-0.017554857951241964,-0.018995700968092503,-0.06323423955320664,Benicia
-0.1849725914799469,-0.07031929144458075,-0.013330288096012752,-0.012408840753890633,-0.06319975745633817,Berkeley
-0.2037749588893279,0.015866800286768713,-0.04022105358441056,-0.007777402339109247,-0.10832415470469021,Beverly Hills
0.15386850916894101,0.09407540495646081,0.09357822858850429,0.014529839185846605,0.22971724886947792,Big Bear Lake
0.29518863717642435,0.08289139291384003,0.0762584180220638,-0.005734137562505143,0.19716492021940754,Bishop
0.31015957901501756,0.13445849104807964,0.07779111761869081,0.07726968325193899,-0.08390964016449634,Blythe
0.3245915496293803,0.05244058131209225,0.08615352176817441,0.07774059254775265,-0.05515701448816893,Brawley
-0.20395489567811087,0.004041447639153185,-0.03931204628673205,-0.007395981060964273,-0.09760929384411521,Brea
-0.23365059179210174,0.016386559482697242,-0.02116768912877958,-0.014987058398674728,-0.08081198939391043,Brentwood
-0.18865396449363697,-0.05179152914251636,-0.013314762831092935,-0.0024924578329185354,-0.07797805493060436,Brisbane
-0.2397840720901026,-0.1044524364935303,-0.018919193715570812,-0.014528168202656273,0.11345310127109065,Buellton
-0.15153735126225892,-0.05799705121241025,-0.03422629064792258,-0.007370286338702042,-0.09309978976947549,Buena Park
-0.13346789869203662,-0.0802624762875299,-0.034129114551736194,-0.007534313488023308,-0.08883696621144332,Burbank
-0.15843163499511898,-0.05618508292649696,-0.03344530272117338,-0.0075447100391807295,-0.08862403854879923,Burbank
-0.13346789869203662,-0.0802624762875299,-0.034129114551736194,-0.007534313488023308,-0.08883696621144332,Burbank
-0.15843163499511898,-0.05618508292649696,-0.03344530272117338,-0.0075447100391807295,-0.08862403854879923,Burbank
-0.24458869490328175,0.014449175610530758,-0.021808229749595832,-0.017580051474347286,-0.0647029687140751,Burlingame
-0.23948351774288093,0.012994040038449716,-0.012398668819555916,-0.013032176895039042,-0.08231044581174306,Calabasas
