zcta,median_household_income,housing_age
1970,85041,88
1982,132571,68
1983,195718,57
1984,194781,65
1985,179500,43
2019,125307,53
2021,143381,46
2025,199306,58
2026,128955,70
2030,250001,56
2032,180682,67
2035,115833,50
2038,145773,41
2043,178390,50
2045,115485,80
2047,106333,80
2048,125273,46
2050,126241,59
2052,235800,56
2053,173750,50
2054,155996,52
2056,200720,42
2061,188699,58
2062,107030,66
2066,136689,65
2067,192314,56
2071,213885,47
2072,104794,57
2081,156250,47
2090,223125,58
2093,151676,42
2108,212928,88
2109,158843,72
2110,138438,49
2111,87404,46
2113,113314,88
2114,132210,60
2115,54991,88
2116,126496,88
2118,98224,79
2119,48488,59
2120,64289,50
2121,43136,82
2122,86150,88
2124,81923,88
2125,82953,85
2126,65709,74
2127,164387,78
2128,90106,88
2129,157247,88
2130,131551,88
2131,111006,88
2132,138724,78
2134,78679,84
2135,90829,70
2136,96737,72
2138,119967,88
2139,134586,88
2140,135286,71
2141,126522,46
2142,147723,21
2143,130753,88
2144,150313,88
2145,123755,88
2148,100606,76
2149,85218,88
2150,72179,85
2151,86969,61
2152,116167,88
2155,129700,84
2163,84583,39
2169,96290,61
2170,103627,88
2171,106885,66
2176,133953,88
2180,113964,62
2184,122214,69
2186,188033,81
2188,107335,61
2189,94541,65
2190,99657,57
2191,120324,74
2199,122285,52
2210,172124,14
2215,72095,71
2301,74214,70
2302,92274,62
2322,130625,72
2324,112726,42
2330,91250,46
2332,176583,50
2333,133741,49
2338,118556,47
2339,189803,48
2341,132250,54
2343,115032,69
2346,97056,47
2347,133984,42
2351,125400,56
2356,127224,48
2359,146285,52
2360,116941,44
2364,119876,44
2367,126736,45
2368,109665,60
2370,112405,64
2375,120903,46
2379,123406,63
2382,108933,69
2420,245031,63
2421,227813,59
2445,139747,88
2446,131963,88
2451,122335,61
2452,118431,55
2453,115366,73
2458,153520,88
2459,227594,80
2460,177837,88
2461,224000,82
2462,216339,74
2464,105729,74
2465,194265,88
2466,170089,74
2467,169104,67
2468,250001,86
2472,126336,79
2474,150560,79
2476,151131,88
2478,183137,88
2481,250001,75
2482,226250,64
2492,226645,64
2493,250001,62
2494,179720,57
2532,87773,54
2534,137066,52
2535,153966,42
2536,100497,50
2537,136506,43
2538,123750,55
2539,125236,42
2540,77295,59
2542,62083,70
2543,72349,69
2554,140938,41
2556,121810,53
2558,79598,88
2559,90855,55
2562,120000,48
2563,121455,43
2568,115417,43
2571,94265,69
2575,173417,40
2576,63021,43
2601,61143,50
2630,116895,56
2631,102132,44
2632,121317,50
2633,85483,51
2635,110197,43
2638,108726,50
2639,72567,65
2642,72992,51
2644,108158,46
2645,104401,44
2646,81172,63
2648,129681,43
2649,95299,38
2650,66548,46
2653,102813,47
2655,118750,47
2657,136904,65
2659,109453,67
2660,93386,49
2663,83587,64
2664,82125,55
2666,121750,45
2667,121110,50
2668,111731,38
2670,87019,66
2671,104583,63
2673,73854,53
2675,110450,45
2702,153038,47
2703,99152,54
2713,79167,58
2715,140066,39
2717,130625,53
2718,109500,49
2719,95965,74
2720,62196,78
2721,52841,84
2723,47633,88
2724,55590,79
2725,129253,64
2726,111046,65
2738,143092,64
2739,130241,55
2740,55237,88
2743,89593,58
2744,58675,88
2745,74034,68
2746,41917,88
2747,102079,49
2748,97361,62
2760,112027,52
2762,104106,48
2763,114337,41
2764,135640,61
2766,124535,44
2767,124105,40
2769,138214,49
2770,120320,42
2771,120613,59
2777,116364,60
2779,144205,40
2780,74471,63
2790,97250,53
2791,130833,88
2802,116159,85
2804,102118,70
2806,153198,70
2807,83190,54
2808,106681,53
2809,97764,62
2812,104934,35
2813,109404,46
2814,110764,50
2815,126071,88
2816,101431,54
2817,135625,35
2818,139217,53
2822,112813,38
2823,31607,88
2824,203508,68
2825,112593,46
2826,78843,71
2827,152305,42
2828,97196,54
2830,121111,54
2831,137181,61
2832,105976,41
2835,140625,51
2837,134750,57
2838,97273,52
2839,97292,44
2840,86250,88
2841,181458,88
2842,101948,57
2852,118643,55
2857,108679,61
2858,128568,66
2859,124592,56
2860,61539,81
2861,83411,78
2863,49285,82
2864,117522,54
2865,105958,56
2871,116831,53
2872,131875,88
2873,46406,49
